"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-04-26",18.3377884755335,NA,90.9,NA
"2020-04-27",17.0420055689439,NA,89.5,NA
"2020-04-28",15.6627199664176,NA,86.8,NA
"2020-04-29",14.4877177450222,NA,81.6,NA
"2020-04-30",13.4707741980785,NA,78,NA
"2020-05-01",11.7634422900865,NA,75.5,NA
"2020-05-02",10.9239419720083,NA,74.5,NA
"2020-05-03",10.7181674713071,NA,74.4,NA
"2020-05-04",10.3245119047482,NA,71.9,NA
"2020-05-05",9.73999303319114,NA,66.7,NA
"2020-05-06",9.15249192249345,NA,61.2,NA
"2020-05-07",8.5277128225383,NA,57.6,NA
"2020-05-08",8.30851824570439,NA,55.8,NA
"2020-05-09",8.00432985336345,NA,54.6,NA
"2020-05-10",7.87609357031776,NA,53.9,NA
"2020-05-11",7.4913847211807,NA,52.7,NA
"2020-05-12",6.86809674079584,NA,49.3,NA
"2020-05-13",6.34918713033189,NA,47.2,NA
"2020-05-14",6.04947209670185,NA,44.6,NA
"2020-05-15",6.14490374920096,NA,42.7,NA
"2020-05-16",6.25673771697337,NA,41.3,NA
"2020-05-17",6.08675008595932,NA,40.5,NA
"2020-05-18",5.79449065018077,NA,38.7,NA
"2020-05-19",8.30404488699349,NA,36.7,2.20220418138032
"2020-05-20",8.54113289867098,NA,34.7,2.15863397059766
"2020-05-21",7.30201253575276,NA,33.8,2.11081225538371
"2020-05-22",6.95756391501376,NA,32.9,2.00321992057529
"2020-05-23",6.92028592575629,NA,32.2,1.97662631924155
"2020-05-24",6.91879480618599,NA,32,1.97398928770468
"2020-05-25",6.29699794537143,NA,31.1,1.80714126769484
"2020-05-26",5.86457326998481,NA,30,1.68857709580196
"2020-05-27",5.37399493135653,NA,29,1.60470904630236
"2020-05-28",6.05841881412364,NA,27.6,1.57936677615595
"2020-05-29",5.70949683467374,NA,26.3,1.49971603705227
"2020-05-30",5.82133080244615,NA,25.6,1.52381547156702
"2020-05-31",5.89141342225019,NA,25.4,1.53458943615199
"2020-06-01",5.07726213686709,0.84,25.1,1.5635618904175
"2020-06-02",5.02358183233634,0.83,24.1,1.58828937133159
"2020-06-03",4.91920346241543,0.83,23.3,1.56715389840814
"2020-06-04",4.89832778843125,0.84,22.4,1.58433891830888
"2020-06-05",4.85359420132229,0.85,21.1,1.59213081396771
"2020-06-06",4.76710926624496,0.86,20.4,1.56893344915075
"2020-06-07",4.66571313546465,0.88,20.2,1.54384337563402
"2020-06-08",5.26514320272473,0.89,19.7,1.50320564670623
"2020-06-09",5.01612623448484,0.9,18.3,1.46409188438723
"2020-06-10",4.85657644046288,0.9,17.9,1.44420499995566
"2020-06-11",4.85657644046288,0.9,17.3,1.46180326470892
"2020-06-12",4.92964129940752,0.89,16.8,1.50084439521328
"2020-06-13",4.78947605979944,0.89,16.7,1.46288587486223
"2020-06-14",4.76114478796377,0.88,16.6,1.46001755862019
"2020-06-15",4.65974865718345,0.87,16.2,1.43793857126424
"2020-06-16",4.68062433116764,0.86,15.7,1.45021275022984
"2020-06-17",4.94157025596991,0.86,14.7,1.53595876919369
"2020-06-18",4.87297875573617,0.86,14.3,1.52193958812626
"2020-06-19",4.98630384307887,0.86,13.8,1.54867154177106
"2020-06-20",5.20549841991278,0.87,13.6,1.59932197177937
"2020-06-21",5.20997177862368,0.87,13.6,1.60181178023913
"2020-06-22",5.37101269221594,0.88,13.3,1.62547326904245
"2020-06-23",5.49924897526163,0.89,12.9,1.63145415295325
"2020-06-24",5.4142551597546,0.9,12.5,1.57212008901897
"2020-06-25",5.30838567026339,0.91,12.3,1.53283100107643
"2020-06-26",5.16374707194442,0.92,12,1.4632311930637
"2020-06-27",5.16672931108501,0.93,11.7,1.44877241102489
"2020-06-28",5.33522582252877,0.95,11.7,1.48639890991874
"2020-06-29",5.44407755116057,0.97,11.7,1.44371641312987
"2020-06-30",5.54398256237059,0.99,11.3,1.41313477991509
"2020-07-01",5.48732001869924,1.01,11,1.34574736518756
"2020-07-02",5.61108294303403,1.03,10.8,1.30850545935044
"2020-07-03",5.86457326998481,1.04,10.5,1.31377205904458
"2020-07-04",5.88544894396899,1.05,10.2,1.30124024976428
"2020-07-05",5.71844355209554,1.07,10.3,1.26342491928576
"2020-07-06",5.72440803037673,1.08,10.3,1.24688198305877
"2020-07-07",5.49328449698043,1.09,10.1,1.17484230197657
"2020-07-08",5.59766286690134,1.1,9.9,1.17165311077958
"2020-07-09",5.76914161748569,1.12,9.6,1.16370701893693
"2020-07-10",5.92720029193735,1.13,9.3,1.15575507878034
"2020-07-11",5.92720029193735,1.15,9.3,1.14480402971018
"2020-07-12",5.94658484635124,1.16,9.4,1.14845543111715
"2020-07-13",6.24331764084068,1.17,9.2,1.16695513061703
"2020-07-14",5.66327212799448,1.19,9.2,1.22601158868247
"2020-07-15",5.89290454182048,1.21,9,1.22478453151682
"2020-07-16",6.29699794537143,1.24,9,1.25566804929902
"2020-07-17",6.45654773939339,1.26,8.9,1.23248055925584
"2020-07-18",6.59522185943117,1.3,8.9,1.23465061034672
"2020-07-19",6.70705582720358,1.33,8.9,1.24500737648879
"2020-07-20",6.94265271931077,1.36,8.7,1.24943311266098
"2020-07-21",8.30553600656379,1.39,8.5,1.25946577848326
"2020-07-22",8.77672979077818,1.41,8.3,1.30695443645084
"2020-07-23",9.03320235686956,1.42,8.1,1.33621840046408
"2020-07-24",9.50290502151365,1.42,7.6,1.40222181639761
"2020-07-25",9.77279766373772,1.42,7.3,1.43532287099614
"2020-07-26",9.88164939236952,1.41,7.3,1.4431651636872
"2020-07-27",10.4706416226375,1.4,7.4,1.50112017512356
"2020-07-28",10.8747350261885,1.39,7.1,1.51716562755487
"2020-07-29",11.3250531364187,1.38,7,1.52609634801828
"2020-07-30",11.9229920841084,1.37,7.1,1.5605331105859
"2020-07-31",12.4612862489863,1.37,6.9,1.59462517626361
"2020-08-01",12.7103032172262,1.36,6.8,1.6147945797158
"2020-08-02",12.689427543242,1.36,6.8,1.60862267118316
"2020-08-03",13.5691880897182,1.36,7.1,1.69619790715274
"2020-08-04",14.5309602125609,1.36,7.2,1.81388041977046
"2020-08-05",15.2586265628667,1.36,7.1,1.91518391043385
"2020-08-06",16.1697006203192,1.36,7.2,2.02022083823143
"2020-08-07",17.1568217758569,1.36,7.1,2.14293563184567
"2020-08-08",17.4729391247602,1.36,7.2,2.17871080858469
"2020-08-09",17.7577429626873,1.37,7.3,2.21266807749262
"2020-08-10",18.9730054124807,1.37,7.4,2.35893043528236
"2020-08-11",19.9884578398541,1.38,7.3,2.49699633972562
"2020-08-12",21.3737079206616,1.39,7,2.66458466943647
"2020-08-13",23.4359262863848,1.41,6.9,2.87982146096383
"2020-08-14",25.7963685661676,1.42,6.8,3.0758398998663
"2020-08-15",25.4429732280068,1.44,7,3.14843961907995
"2020-08-16",25.8127708814409,1.45,7,3.16993224684124
"2020-08-17",29.0693760229733,1.47,7.1,3.38111466652792
"2020-08-18",32.1097688268123,1.48,7.1,3.5324455467958
"2020-08-19",35.0278898258869,1.49,7.2,3.68585720382597
"2020-08-20",37.3957877035212,1.49,7.3,3.77849426724722
"2020-08-21",39.2671427642461,1.49,7.3,3.81720219691336
"2020-08-22",41.4575974130149,1.48,7.3,3.82701027124794
"2020-08-23",41.9302823167996,1.47,7.3,3.86507427072838
"2020-08-24",44.8513855550148,1.46,7.7,3.99302259823255
"2020-08-25",47.9350208263925,1.45,7.9,4.12843388688191
"2020-08-26",50.6637696400391,1.44,7.4,4.20326914060422
"2020-08-27",54.0515933037578,1.43,7.4,4.30585862377398
"2020-08-28",57.7570254359501,1.42,7.5,4.44577585870481
"2020-08-29",58.9245720594939,1.4,7.8,4.47111881497305
"2020-08-30",59.3883102458568,1.39,7.8,4.488936576921
"2020-08-31",63.1235647694551,1.38,8,4.6402397451721
"2020-09-01",66.1893066059892,1.37,8.3,4.79574153622763
"2020-09-02",69.7560646181437,1.36,8.7,5.00303726423771
"2020-09-03",73.2780890431893,1.35,9.1,5.22905791195204
"2020-09-04",76.9596632622568,1.34,9.2,5.42367894241834
"2020-09-05",78.4970075392347,1.33,9.4,5.4931214678654
"2020-09-06",78.7266399530608,1.32,9.5,5.50939781364655
"2020-09-07",82.8734434780614,1.31,10.5,5.68206099183034
"2020-09-08",87.0575249923196,1.3,11.2,5.7430199250842
"2020-09-09",90.443857536468,1.28,11.7,5.766051640171
"2020-09-10",93.8510657546005,1.27,12,5.75772018431291
"2020-09-11",95.6299714019669,1.26,12.4,5.67624020887728
"2020-09-12",96.2860640128983,1.25,12.9,5.68031274136029
"2020-09-13",96.4247381329361,1.23,13.1,5.6867828423889
"2020-09-14",100.107803471574,1.22,13.9,5.77838562220327
"2020-09-15",102.879794752759,1.21,14.9,5.84209287399301
"2020-09-16",106.009654730816,1.2,15.7,5.98379441616889
"2020-09-17",108.498333293645,1.19,15.7,6.17393731794381
"2020-09-18",111.443294444985,1.18,16.2,6.44232567801819
"2020-09-19",112.510936057319,1.16,16.4,6.5516519794144
"2020-09-20",112.864331395479,1.14,16.5,6.57254451105569
"2020-09-21",114.194410052186,1.12,18,6.84577496893688
"2020-09-22",115.190477925145,1.1,18.7,7.1967572623424
"2020-09-23",114.541840912065,1.08,19.7,7.46287797238533
"2020-09-24",113.056685820048,1.06,20.6,7.67178287498596
"2020-09-25",111.596879760725,1.04,21.6,7.85700113066237
"2020-09-26",110.987011856473,1.02,21.8,7.90002695892691
"2020-09-27",110.365214995659,1.01,22,7.9041400756935
"2020-09-28",107.536561170802,1,22.9,7.91442700022607
"2020-09-29",105.435573696251,1,23.7,7.9753978449992
"2020-09-30",105.917205317458,1.02,24.4,8.16793998463739
"2020-10-01",108.754805859736,1.04,24.9,8.52107106013644
"2020-10-02",114.588065618745,1.07,25.1,9.03503048045665
"2020-10-03",118.186137141875,1.1,25.5,9.28868763008382
"2020-10-04",119.070371047063,1.15,26.4,9.34738177791409
"2020-10-05",130.563920694925,1.19,27.9,10.1109232751812
"2020-10-06",140.809403262447,1.24,28,10.7369852484702
"2020-10-07",151.812374571682,1.28,27.8,11.3477762210638
"2020-10-08",163.583272459619,1.32,28,11.8623724744949
"2020-10-09",175.312418999589,1.35,28.4,12.2375842712418
"2020-10-10",181.415571400822,1.37,28.8,12.429164976774
"2020-10-11",183.258595189711,1.38,29.3,12.4909036950309
"2020-10-12",198.544061904843,1.39,30.4,12.9786796449239
"2020-10-13",211.828446156634,1.4,32.3,13.325991499357
"2020-10-14",223.863272208515,1.4,32.9,13.4993139340621
"2020-10-15",238.005050213228,1.41,34.4,13.7532150288868
"2020-10-16",252.221384196456,1.41,35.4,14.0381118524193
"2020-10-17",258.142620010112,1.42,36.9,14.1507621810418
"2020-10-18",260.355441452435,1.43,38.3,14.2033224926341
"2020-10-19",280.521342521155,1.44,41.3,14.8495219812834
"2020-10-20",303.903588503009,1.45,42.9,15.7155018328802
"2020-10-21",330.563315300379,1.46,44.3,16.6790305324788
"2020-10-22",358.912480570898,1.47,45.7,17.6477014363777
"2020-10-23",391.257846289818,1.47,48.1,18.6502334904152
"2020-10-24",405.920025024565,1.46,49.2,19.1099726363584
"2020-10-25",409.78798918992,1.45,50.9,19.2334044621493
"2020-10-26",444.665275939207,1.43,54.6,20.1390919583156
"2020-10-27",470.185787384869,1.4,57.5,20.6763192526929
"2020-10-28",485.319159903831,1.37,60,20.9545644179363
"2020-10-29",492.782213353176,1.33,62.2,21.093918547161
"2020-10-30",497.377843868836,1.29,66.6,21.1663445222978
"2020-10-31",498.971850689486,1.25,68.1,21.160354522207
"2020-11-01",498.39329629621,1.2,70.6,21.1500762498972
"2020-11-02",500.026072225687,1.16,73.6,21.1815148747374
"2020-11-03",496.283362104237,1.11,76.5,21.093974300065
"2020-11-04",485.927536688512,1.07,80.7,20.9050844848158
"2020-11-05",471.928906162548,1.03,83.5,20.5214442488434
"2020-11-06",451.52293484301,0.98,85.4,20.0366181358365
"2020-11-07",438.957270224103,0.94,87.2,19.7860628301811
"2020-11-08",435.104217254451,0.89,89.5,19.7374179431072
"2020-11-09",401.494382139918,0.85,92.5,18.9045543169718
"2020-11-10",368.886579376626,0.8,93.6,17.9796096056374
"2020-11-11",302.402031095718,0.76,94.7,17.4782450567132
"2020-11-12",286.68563082477,0.72,96.6,17.0399414341196
"2020-11-13",262.620452079719,0.68,96.6,16.5270977101558
"2020-11-14",252.108059109113,0.65,96,16.309177234116
"2020-11-15",249.550789046051,NA,96.5,16.2509054822215
"2020-11-16",221.598261581231,NA,96.9,15.5991980602295
"2020-11-17",196.460967865136,NA,95.7,15.0811783451156
"2020-11-18",212.286219864716,NA,94.1,14.7737095691282
"2020-11-19",180.899644029498,NA,91.7,14.0226895758564
"2020-11-20",157.966225038304,NA,90.3,13.3443509653234
"2020-11-21",NA,NA,88.8,NA
"2020-11-22",NA,NA,88.8,NA
"2020-11-23",NA,NA,87.7,NA
